siren;denomination;categorie_juridique;tranche_effectif;population;present_fichier_odf;obligation_publication;latitude;longitude;adresse
217604743;COMMUNE DE NOTRE DAME DE BONDEVILLE;7210;22;-1;False;non_connu;49.488317;1.048446;97 RTE DE DIEPPE 76960 NOTRE-DAME-DE-BONDEVILLE
217604750;COMMUNE DE FRANQUEVILLE SAINT PIERRE;7210;22;-1;True;non_connu;49.404543;1.167713;CHE DES FORRIERES 76520 FRANQUEVILLE-SAINT-PIERRE
217604818;COMMUNE D'OCTEVILLE SUR MER;7210;22;-1;True;non_connu;49.595016;0.128514;PL DU GENERAL DE GAULLE 76930 OCTEVILLE-SUR-MER
217604826;COMMUNE DE OFFRANVILLE;7210;21;-1;False;non_connu;49.870668;1.049193;1 RUE JEHAN VERON 76550 OFFRANVILLE
217604842;COMMUNE DE OISSEL;7210;32;-1;False;non_connu;49.339472;1.089189;PL DU HUIT MAI 1945 76350 OISSEL
217604958;COMMUNE DE PAVILLY;7210;22;-1;False;non_connu;49.56665;0.954253;PL DU GENERAL DE GAULLE 76570 PAVILLY
217604974;COMMUNE DE PETIT COURONNE;7210;32;-1;True;non_connu;49.385149;1.021071;PL DE LA LIBERATION 76650 PETIT-COURONNE
217604982;COMMUNE DU PETIT QUEVILLY;7210;41;-1;False;non_connu;;;
217605336;COMMUNE DE ROGERVILLE;7210;21;-1;False;non_connu;49.506588;0.272162;RUE RENE COTY 76700 ROGERVILLE
217605401;COMMUNE DE ROUEN;7210;51;-1;True;non_connu;49.443269;1.099821;2 PL DU GENERAL DE GAULLE 76000 ROUEN 76037 ROUEN CEDEX 
217605526;COMMUNE DE SAINTE ADRESSE;7210;21;-1;True;non_connu;49.505851;0.084674;RUE ALBERT DUBOSC 76310 SAINTE-ADRESSE
217605617;COMMUNE DE SAINT AUBIN LES ELBEUF;7210;31;-1;True;non_connu;49.299629;1.013267;RUE DE PATTENSEN 76410 SAINT-AUBIN-LES-ELBEUF
217605757;COMMUNE DE SAINT ETIENNE DU ROUVRAY;7210;42;-1;False;non_connu;49.391126;1.063971;PL DE LA LIBERATION 76800 SAINT-ETIENNE-DU-ROUVRAY BP 458 76806 ST ETIENNE ROUVRAY CEDEX
217605914;COMMUNE DE SAINT JACQUES SUR DARNETAL;7210;21;-1;False;non_connu;49.4403;1.2024;20 RUE DE VERDUN 76160 SAINT-JACQUES-SUR-DARNETAL
217605997;COMMUNE DE SAINT LEGER DU BOURG DENIS;7210;21;-1;False;non_connu;49.432191;1.156655;RTE DE LYONS 76160 SAINT-LEGER-DU-BOURG-DENIS
217606243;COMMUNE DE SAINT NICOLAS D'ALIERMONT;7210;22;-1;False;non_connu;49.878575;1.220914;PL DE LA LIBERATION 76510 SAINT NICOLAS D'ALIERMONT BP 13
217606409;COMMUNE DE SAINT PIERRE LES ELBEUF;7210;22;-1;False;non_connu;49.263939;1.060987;PL FRANCOIS MITTERAND 76320 SAINT-PIERRE-LES-ELBEUF
217606474;COMMUNE DE SAINT ROMAIN DE COLBOSC;7210;21;-1;False;non_connu;49.52958;0.358077;PL THEODULE BENOIST 76430 SAINT-ROMAIN-DE-COLBOSC
217606557;COMMUNE DE SAINT VALERY EN CAUX;7210;22;-1;False;non_connu;49.868776;0.71243;PL DE L HOTEL DE VILLE 76460 SAINT-VALERY-EN-CAUX
217606813;COMMUNE DE SOTTEVILLE LES ROUEN;7210;41;-1;False;non_connu;49.41457;1.090085;PL DE L HOTEL DE VILLE 76300 SOTTEVILLE-LES-ROUEN BP 19 76301 SOTTEVILLE LES ROUEN CEDEX
217607050;COMMUNE DE TOURVILLE LA RIVIERE;7210;22;-1;False;non_connu;49.32872;1.105375;PL DE LA COMMUNE 76410 TOURVILLE-LA-RIVIERE
217607092;COMMUNE DE LE TRAIT;7210;22;-1;False;non_connu;49.486935;0.80418;PL DU 11 NOVEMBRE 76580 LE TRAIT
217607118;COMMUNE DE LE TREPORT;7210;22;-1;False;non_connu;50.058969;1.383045;RUE FRANCOIS MITTERAND 76470 LE TREPORT
217607217;COMMUNE DE VARNEVILLE BRETTEVILLE;7210;non_connu;-1;False;non_connu;49.652361;1.041607;LE BOURG 76890 VARNEVILLE-BRETTEVILLE
217607522;COMMUNE DE YERVILLE;7210;21;-1;False;non_connu;49.668934;0.898749;1 RUE DELAHAYE 76760 YERVILLE
217607589;COMMUNE DE YVETOT;7210;31;-1;False;non_connu;49.616519;0.755732;PL DE L HOTEL DE VILLE 76190 YVETOT
217700053;COMMUNE ANNET SUR MARNE;7210;21;-1;False;non_connu;48.925609;2.721253;38 RUE PAUL VALENTIN 77410 ANNET-SUR-MARNE
217700095;COMMUNE ARVILLE;7210;non_connu;-1;False;non_connu;48.191313;2.545052;77890 ARVILLE
217700145;COMMUNE D AVON;7210;32;-1;False;non_connu;48.404957;2.720833;8 RUE DU PERE MAURICE 77210 AVON
217700186;COMMUNE BAILLY ROMAINVILLIERS;7210;31;-1;False;non_connu;48.84677;2.8234;51 RUE DE PARIS 77700 BAILLY-ROMAINVILLIERS
217700210;COMMUNE BARBEY;7210;non_connu;-1;False;non_connu;48.366497;3.055045;77130 BARBEY
217700376;COMMUNE BOIS LE ROI;7210;22;-1;True;non_connu;48.47595;2.693678;4 AV PAUL DOUMER 77590 BOIS-LE-ROI
217700400;COMMUNE BOISSISE LE ROI;7210;21;-1;False;non_connu;48.527914;2.572675;11 RUE CHATEAU 77310 BOISSISE-LE-ROI
217700426;COMMUNE BOISSY LE CHATEL;7210;21;-1;False;non_connu;48.8212;3.136523;MAIRIE PL DE LA MAIRIE 77169 BOISSY-LE-CHATEL
217700483;COMMUNE BOURRON MARLOTTE;7210;21;-1;False;non_connu;;;
217700517;COMMUNE BRAY SUR SEINE;7210;21;-1;False;non_connu;48.414962;3.239385;PL DU GENERAL DE GAULLE 77480 BRAY-SUR-SEINE
217700533;COMMUNE BRIE COMTE ROBERT;7210;32;-1;True;non_connu;48.694836;2.611084;2 RUE DE VERDUN 77170 BRIE-COMTE-ROBERT
217700558;COMMUNE BROU SUR CHANTEREINE;7210;22;-1;False;non_connu;48.882802;2.629851;3 RUE LAZARE CARNOT 77177 BROU-SUR-CHANTEREINE
217700582;COMMUNE DE BUSSY ST GEORGES;7210;41;-1;False;non_connu;48.843513;2.698397;PL DE LA MAIRIE 77600 BUSSY-SAINT-GEORGES
217700616;COMMUNE CANNES ECLUSE;7210;21;-1;False;non_connu;48.365387;2.9842;77130 CANNES-ECLUSE
217700673;COMMUNE CESSON;7210;31;-1;True;non_connu;48.562467;2.602677;8 RTE DE SAINT LEU 77240 CESSON BP 35 77245 CESSON CEDEX
217700798;COMMUNE  DE CHAMPAGNE SUR SEINE;7210;22;-1;True;non_connu;48.394755;2.804427;149 RUE GRANDE 77430 CHAMPAGNE-SUR-SEINE
217700830;COMMUNE CHAMPS SUR MARNE;7210;41;-1;False;non_connu;48.853116;2.6022;PL DE LA MAIRIE 77420 CHAMPS-SUR-MARNE
217700855;COMMUNE CHANTELOUP;7210;21;-1;False;non_connu;48.856533;2.738943;MAIRIE DE CHANTELOUP-EN-BRIE 1 PL ANTOINETTE CHOCQ 77600 CHANTELOUP-EN-BRIE
217700962;COMMUNE CHARTRETTES;7210;21;-1;False;non_connu;48.488046;2.712405;77590 CHARTRETTES
217700996;COMMUNE CHATEAU LANDON;7210;21;-1;False;non_connu;48.15008;2.704326;PL DE L'HOTEL DE VILLE 77570 CHATEAU-LANDON
217701002;COMMUNE LE CHATELET EN BRIE;7210;21;-1;False;non_connu;48.504562;2.794053;PL DE L'HOTEL DE VILLE 77820 LE CHATELET-EN-BRIE
217701077;COMMUNE DE CHAUMES EN BRIE;7210;21;-1;False;non_connu;48.664727;2.842093;PL DU MARECHAL FOCH 77390 CHAUMES-EN-BRIE
217701085;COMMUNE DE CHELLES;7210;42;-1;False;non_connu;48.877927;2.589894;PARC SOUVENIR E FOUCHARD 77500 CHELLES 77505 CHELLES CEDEX
217701119;COMMUNE DE CHESSY;7210;31;-1;False;non_connu;49.331358;6.064754;32 RUE GENERAL DE GAULLE 77700 CHESSY
217701143;COMMUNE CHEVRY COSSIGNY;7210;21;-1;False;non_connu;48.725178;2.661589;RUE CHARLES PATHE 77173 CHEVRY-COSSIGNY
217701184;COMMUNE DE CLAYE SOUILLY;7210;32;-1;False;non_connu;48.947096;2.687663;67 ALL ANDRE BENOIST 77410 CLAYE-SOUILLY
217701218;COMMUNE COLLEGIEN;7210;22;-1;False;non_connu;48.836917;2.671801;8 PL MIREILLE MORVAN 77090 COLLEGIEN BP 80 77615 MARNE LA VALLEE CEDEX 3
217701226;COMMUNE COMBS LA VILLE;7210;41;-1;True;non_connu;48.65311;2.563798;ESP CHARLES DE GAULLE 77380 COMBS-LA-VILLE BP 116 77385 COMBS LA VILLE CEDEX
217701234;COMMUNE COMPANS;7210;21;-1;False;non_connu;48.99444;2.661953;1 RUE DE LA MAIRIE 77290 COMPANS
217701317;COMMUNE COULOMMIERS;7210;32;-1;True;non_connu;48.812161;3.084258;13 RUE DU GENERAL DE GAULLE 77120 COULOMMIERS
217701325;COMMUNE COUPVRAY;7210;21;-1;False;non_connu;48.894234;2.795044;77700 COUPVRAY
217701390;COMMUNE DE COURTRY;7210;22;-1;True;non_connu;48.918627;2.604866;52 RUE DU GENERAL LECLERC 77181 COURTRY
217701424;COMMUNE CRECY LA CHAPELLE;7210;21;-1;False;non_connu;48.85986;2.922758;PL DE L'HOTEL DE VILLE 77580 CRECY-LA-CHAPELLE
217701432;COMMUNE CREGY LES MEAUX;7210;22;-1;False;non_connu;48.970851;2.869587;77124 CREGY-LES-MEAUX
217701465;COMMUNE CROISSY BEAUBOURG;7210;22;-1;False;non_connu;48.82773;2.659686;30 RUE DE PARIS 77183 CROISSY-BEAUBOURG
217701523;COMMUNE DAMMARIE LES LYS;7210;41;-1;False;non_connu;48.514827;2.634476;26 RUE CHARLES DE GAULLE 77190 DAMMARIE-LES-LYS
217701531;COMMUNE DAMMARTIN EN GOELE;7210;32;-1;False;non_connu;49.054041;2.678623;79 RUE DU GENERAL DE GAULLE 77230 DAMMARTIN-EN-GOELE
217701556;COMMUNE DAMPMART;7210;21;-1;False;non_connu;48.887211;2.744027;77400 DAMPMART
217701598;COMMUNE DONNEMARIE DONTILLY;7210;21;-1;False;non_connu;48.477428;3.124786;77520 DONNEMARIE-DONTILLY
217701697;COMMUNE EMERAINVILLE;7210;31;-1;True;non_connu;48.811733;2.621577;16 PL DE L EUROPE 77184 EMERAINVILLE
217701713;COMMUNE ESBLY;7210;22;-1;False;non_connu;48.900854;2.813515;7 RUE VICTOR HUGO 77450 ESBLY
217701754;COMMUNE EVRY GREGY SUR YERRE;7210;21;-1;False;non_connu;48.650356;2.640639;77166 EVRY-GREGY-SUR-YERRE
217701812;COMMUNE FERRIERES EN BRIE;7210;21;-1;False;non_connu;48.821228;2.704166;PL AUGUSTE TREZY 77164 FERRIERES-EN-BRIE
217701820;COMMUNE LA FERTE GAUCHER;7210;21;-1;False;non_connu;48.781451;3.305752;1 PL DU GENERAL DE GAULLE 77320 LA FERTE-GAUCHER
217701838;COMMUNE DE LA FERTE-SOUS-JOUARRE;7210;32;-1;False;non_connu;48.950101;3.129383;PL DE L HOTEL DE VILLE 77260 LA FERTE-SOUS-JOUARRE
217701861;COMMUNE FONTAINEBLEAU;7210;32;-1;False;non_connu;48.404831;2.701147;40 RUE GRANDE 77300 FONTAINEBLEAU
217701929;COMMUNE FONTENAY TRESIGNY;7210;22;-1;False;non_connu;48.706748;2.866446;26 AV DU GENERAL DE GAULLE 77610 FONTENAY-TRESIGNY
217702059;COMMUNE GESVRES LE CHAPITRE;7210;non_connu;-1;False;non_connu;49.042772;2.851134;77165 GESVRES-LE-CHAPITRE
217702158;COMMUNE GRETZ ARMAINVILLIERS;7210;22;-1;False;non_connu;48.741048;2.736191;69 RUE DE PARIS 77220 GRETZ-ARMAINVILLIERS
217702190;COMMUNE GUERARD;7210;21;-1;False;non_connu;48.810012;2.948167;77580 GUERARD
217702224;COMMUNE GUIGNES;7210;21;-1;False;non_connu;48.640329;2.7999;RUE DE MEAUX 77390 GUIGNES
217702380;COMMUNE JOUARRE;7210;21;-1;False;non_connu;48.927174;3.13033;2 RUE DE MONTMORIN 77640 JOUARRE
217702414;COMMUNE JUILLY;7210;21;-1;False;non_connu;49.015278;2.705646;12 RUE PIERRE LOYER 77230 JUILLY
217702430;COMMUNE LAGNY SUR MARNE;7210;32;-1;False;non_connu;48.877215;2.705566;2 PL DE L HOTEL DE VILLE 77400 LAGNY-SUR-MARNE
217702497;COMMUNE DE LESIGNY;7210;22;-1;False;non_connu;48.744488;2.615771;6 RUE DE VILLARCEAU 77150 LESIGNY
217702513;COMMUNE LIEUSAINT;7210;32;-1;True;non_connu;48.631747;2.552001;50 RUE DE PARIS 77127 LIEUSAINT
217702570;COMMUNE LIZY SUR OURCQ;7210;21;-1;False;non_connu;49.028254;3.021446;77440 LIZY-SUR-OURCQ
217702588;COMMUNE LOGNES;7210;41;-1;False;non_connu;48.838598;2.632105;11 ESP DES DROITS DE L HOMME 77185 LOGNES
217702596;COMMUNE LONGPERRIER;7210;21;-1;False;non_connu;49.052728;2.664599;2 RUE DE MAINCOURT 77230 LONGPERRIER
217702687;COMMUNE MAGNY LE HONGRE;7210;31;-1;False;non_connu;48.866282;2.813961;21 RUE DU MOULIN A VENT 77700 MAGNY-LE-HONGRE
217702844;COMMUNE MEAUX;7210;42;-1;False;non_connu;;;
217702851;COMMUNE LE MEE SUR SEINE;7210;41;-1;True;non_connu;48.538589;2.633672;555 RTE DE BOISSISE 77350 LE MEE-SUR-SEINE
217702885;COMMUNE MELUN;7210;42;-1;False;non_connu;48.539511;2.66101;14 RUE PAUL DOUMER 77000 MELUN 77011 MELUN CEDEX
217702919;COMMUNE LE MESNIL AMELOT;7210;21;-1;False;non_connu;49.017144;2.591148;2 RUE DU CHAPEAU 77990 LE MESNIL-AMELOT
217702943;COMMUNE MITRY MORY;7210;41;-1;False;non_connu;48.984125;2.619148;11 RUE PAUL VAILLANT COUTURIER 77290 MITRY-MORY
217702968;COMMUNE DE MOISSY CRAMAYEL;7210;41;-1;False;non_connu;48.627022;2.592998;6 PL DU SOUVENIR 77550 MOISSY-CRAMAYEL 77557 MOISSY CRAMAYEL CEDEX
217703040;COMMUNE MONTENILS;7210;non_connu;-1;False;non_connu;48.843851;3.477497;77320 MONTENILS
217703057;COMMUNE DE MONTEREAU FAULT YONNE;7210;41;-1;False;non_connu;48.384661;2.956367;54 RUE JEAN JAURES 77130 MONTEREAU-FAULT-YONNE 77875 MONTEREAU CEDEX
217703073;COMMUNE MONTEVRAIN;7210;32;-1;False;non_connu;;;
217703156;COMMUNE MONTRY;7210;21;-1;False;non_connu;48.887544;2.828271;25 AV DE LA MAIRIE 77450 MONTRY
217703172;COMMUNE MORMANT;7210;22;-1;False;non_connu;48.606393;2.890492;PL DE LA MAIRIE 77720 MORMANT
217703206;COMMUNE MOUROUX;7210;22;-1;False;non_connu;48.821365;3.037647;PL DE LA MAIRIE 77120 MOUROUX
217703222;COMMUNE MOUSSY LE NEUF;7210;21;-1;False;non_connu;49.063923;2.603853;PL DE GAULLE 77230 MOUSSY-LE-NEUF
217703263;COMMUNE NANDY;7210;31;-1;True;non_connu;48.581754;2.554705;77176 NANDY
217703271;COMMUNE NANGIS;7210;31;-1;False;non_connu;48.555533;3.013804;RUE MAL DE LATTRE DE TASSIGNY 77370 NANGIS
217703305;COMMUNE NANTEUIL LES MEAUX;7210;22;-1;False;non_connu;48.928034;2.896355;14 RUE BENJAMIN BRUNET 77100 NANTEUIL-LES-MEAUX
217703339;COMMUNE NEMOURS;7210;32;-1;False;non_connu;48.267101;2.693705;39 RUE DU DOCTEUR CHOPY 77140 NEMOURS CS 60410 77797 NEMOURS CEDEX
217703354;COMMUNE CHAUCONIN NEUFMONTIERS;7210;21;-1;False;non_connu;;;
217703370;COMMUNE NOISIEL;7210;41;-1;True;non_connu;48.854767;2.628535;26 PL EMILE MENIER 77186 NOISIEL
217703446;COMMUNE DE OISSERY;7210;21;-1;False;non_connu;49.071169;2.817061;RUE JEAN DES BARRES 77178 OISSERY
217703495;COMMUNE OTHIS;7210;22;-1;False;non_connu;49.073258;2.675686;4 RUE GERARD DE NERVAL 77280 OTHIS
217703503;COMMUNE OZOIR LA FERRIERE;7210;41;-1;False;non_connu;48.762406;2.670584;45 AV DU GENERAL DE GAULLE 77330 OZOIR-LA-FERRIERE BP 149
217703636;COMMUNE LE PIN;7210;21;-1;False;non_connu;48.915059;2.629952;6 RUE COURTY 77181 LE PIN
217703727;COMMUNE POMPONNE;7210;21;-1;False;non_connu;48.881378;2.690588;1 RUE DU GENERAL LECLERC 77400 POMPONNE
217703735;COMMUNE PONTAULT COMBAULT;7210;42;-1;True;non_connu;48.801484;2.606385;107 AV DE LA REPUBLIQUE 77340 PONTAULT-COMBAULT
217703784;COMMUNE PRINGY;7210;21;-1;False;non_connu;48.523396;2.556399;77310 PRINGY
217703792;COMMUNE PROVINS;7210;32;-1;False;non_connu;48.560391;3.299462;1 PL DU GENERAL LECLERC 77160 PROVINS
217703826;COMMUNE QUINCY VOISINS;7210;22;-1;False;non_connu;;;
217703891;COMMUNE DE LA ROCHETTE;7210;21;-1;False;non_connu;48.520331;2.655582;55 RUE ROSA BONHEUR 77000 LA ROCHETTE
217703909;COMMUNE DE ROISSY EN BRIE;7210;41;-1;True;non_connu;48.791119;2.654534;9 RUE PASTEUR 77680 ROISSY-EN-BRIE
217703933;COMMUNE ROZAY EN BRIE;7210;21;-1;False;non_connu;48.683286;2.957082;PL DE GAULLE 77540 ROZAY-EN-BRIE
217704071;COMMUNE SAINT FARGEAU PONTHIERRY;7210;32;-1;False;non_connu;48.535815;2.52781;185 AV DE FONTAINEBLEAU 77310 SAINT-FARGEAU-PONTHIERRY
217704097;COMMUNE SAINT GERMAIN LAVAL;7210;21;-1;False;non_connu;48.413893;3.003251;77130 SAINT-GERMAIN-LAVAL
217704139;COMMUNE SAINT GERMAIN SUR MORIN;7210;21;-1;False;non_connu;48.883201;2.848;RUE DE PARIS 77860 SAINT-GERMAIN-SUR-MORIN
217704196;COMMUNE SAINT MAMMES;7210;21;-1;False;non_connu;48.386054;2.819093;77670 SAINT-MAMMES
217704204;COMMUNE SAINT MARD;7210;21;-1;False;non_connu;49.037009;2.694073;77230 SAINT-MARD
217704303;COMMUNE SAINT PATHUS;7210;22;-1;False;non_connu;49.070206;2.800688;6 RUE SAINT ANTOINE 77178 SAINT-PATHUS
217704311;COMMUNE SAINT PIERRE LES NEMOURS;7210;21;-1;False;non_connu;48.263325;2.684789;7 CHE DE LA MESSE 77140 SAINT-PIERRE-LES-NEMOURS BP 537 77794 NEMOURS CEDEX
217704378;COMMUNE SAINT SOUPPLETS;7210;22;-1;False;non_connu;49.040023;2.808177;27 RUE GENERAL MAUNOURY 77165 SAINT-SOUPPLETS
217704386;COMMUNE SAINT THIBAULT DES VIGNES;7210;22;-1;False;non_connu;48.868672;2.688496;PL DE L EGLISE 77400 SAINT-THIBAULT-DES-VIGNES
217704410;COMMUNE SAMOIS SUR SEINE;7210;21;-1;False;non_connu;48.45141;2.749525;PL DE LA REPUBLIQUE 77920 SAMOIS-SUR-SEINE
217704451;COMMUNE DE SAVIGNY-LE-TEMPLE;7210;41;-1;True;non_connu;48.596089;2.579606;HOTEL DE VILLE 1 PL FRANCOIS MITTERRAND 77176 SAVIGNY-LE-TEMPLE 77547 SAVIGNY LE TEMPLE CEDEX
217704493;COMMUNE SERRIS;7210;32;-1;False;non_connu;48.856758;2.785799;2 PL ANTOINE MAUNY 77700 SERRIS
217704501;COMMUNE SERVON;7210;21;-1;False;non_connu;48.716073;2.588227;15 RUE DE LA POSTE 77170 SERVON
217704584;COMMUNE SOUPPES SUR LOING;7210;22;-1;False;non_connu;48.183227;2.735634;19 AV DU MARECHAL LECLERC 77460 SOUPPES-SUR-LOING
